Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Predicted LTV
LF66923,Nevada,5343.121327,No,Basic,High School or Below,2/11/11,Employed,F,64460,Suburban,Married,66,18,42,0,3,Corporate Auto,Corporate L3,Offer2,Agent,316.8,Two-Door Car,Small,5332.1273401999915
CN24514,Arizona,8119.829071,No,Basic,College,1/14/11,Employed,F,46618,Rural,Married,67,22,77,0,2,Personal Auto,Personal L1,Offer3,Agent,99.085943,Four-Door Car,Large,9412.385476449994
UW32074,Oregon,4605.265164,No,Basic,College,2/14/11,Unemployed,F,0,Suburban,Divorced,64,13,64,0,4,Corporate Auto,Corporate L3,Offer1,Branch,307.2,Four-Door Car,Small,4639.992364179997
HP36979,California,6408.785577,No,Extended,College,2/3/11,Employed,M,49988,Suburban,Married,84,6,37,5,5,Personal Auto,Personal L2,Offer2,Web,566.935022,Two-Door Car,Large,6480.923463619999
PP40919,California,2376.533508,No,Extended,College,1/31/11,Unemployed,F,0,Suburban,Single,91,2,8,5,1,Personal Auto,Personal L1,Offer1,Agent,436.8,Two-Door Car,Medsize,2584.349704679997
RO73268,California,3211.070017,No,Extended,Bachelor,2/15/11,Disabled,M,16269,Suburban,Divorced,86,6,84,0,1,Corporate Auto,Corporate L2,Offer3,Agent,412.8,Two-Door Car,Medsize,3185.8746990100008
HO61691,Arizona,5094.522262,No,Basic,Bachelor,2/27/11,Employed,F,72006,Suburban,Divorced,64,4,38,0,3,Personal Auto,Personal L1,Offer4,Agent,307.2,Four-Door Car,Medsize,5098.438037330005
BS13062,Arizona,25755.27817,No,Extended,High School or Below,1/21/11,Unemployed,F,0,Suburban,Married,81,3,60,2,2,Personal Auto,Personal L2,Offer4,Call Center,388.8,Four-Door Car,Small,15139.828873130009
FO35655,Oregon,8672.229719,No,Extended,Bachelor,1/14/11,Unemployed,M,0,Suburban,Single,245,34,83,0,1,Corporate Auto,Corporate L3,Offer1,Branch,2345.413441,Luxury SUV,Medsize,9001.269693430002
HR10526,California,8044.73072,No,Basic,Master,1/25/11,Employed,M,44320,Suburban,Married,67,13,79,0,2,Personal Auto,Personal L2,Offer1,Call Center,321.6,Four-Door Car,Medsize,9872.213145589996
IA63417,Arizona,4001.519098,No,Premium,High School or Below,2/2/11,Retired,F,19782,Suburban,Divorced,108,13,66,0,1,Personal Auto,Personal L3,Offer3,Web,773.470977,Two-Door Car,Medsize,4033.4157197100035
BH35016,Nevada,16706.11699,No,Basic,Bachelor,2/9/11,Employed,F,63933,Suburban,Divorced,70,35,98,0,2,Personal Auto,Personal L3,Offer1,Call Center,424.883448,Two-Door Car,Medsize,15673.189108870001
PK52952,Arizona,8544.411077,No,Basic,Doctor,2/28/11,Employed,M,28224,Suburban,Single,109,13,13,0,8,Personal Auto,Personal L3,Offer1,Call Center,523.2,SUV,Medsize,8534.767418219997
OD76309,Washington,7805.31287,Yes,Basic,College,1/27/11,Retired,F,21073,Suburban,Divorced,106,25,54,1,3,Personal Auto,Personal L3,Offer1,Agent,508.8,SUV,Small,7800.700952990014
IL28481,Oregon,6112.756868,No,Extended,Bachelor,2/19/11,Employed,M,63243,Urban,Married,77,21,73,0,3,Personal Auto,Personal L3,Offer4,Call Center,364.240307,Four-Door Car,Large,6109.5285653500105
GY55092,Nevada,4772.943848,Yes,Extended,High School or Below,2/18/11,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Personal Auto,Personal L3,Offer2,Agent,638.4,SUV,Medsize,4772.728887750009
UF33451,Oregon,10979.09559,No,Extended,Bachelor,2/14/11,Employed,F,94827,Urban,Married,135,5,64,0,4,Personal Auto,Personal L3,Offer1,Agent,354.729129,SUV,Medsize,10906.895660600012
CF15558,California,5004.263818,No,Basic,Master,1/30/11,Employed,F,39161,Urban,Married,63,18,83,1,4,Personal Auto,Personal L3,Offer2,Call Center,283.995953,Two-Door Car,Small,4994.527753769993
JM62924,Washington,13223.04379,No,Extended,Bachelor,2/9/11,Employed,M,37534,Suburban,Married,84,2,0,2,2,Personal Auto,Personal L3,Offer3,Branch,403.2,Four-Door Car,Medsize,14391.018359270014
EM66435,Oregon,2623.31543,No,Basic,Bachelor,2/6/11,Employed,F,80210,Rural,Divorced,65,30,28,0,1,Corporate Auto,Corporate L3,Offer1,Agent,20.543176,Four-Door Car,Medsize,2616.024677089997
QX45933,California,17840.19555,No,Basic,Bachelor,2/23/11,Unemployed,M,0,Suburban,Married,62,32,59,0,2,Personal Auto,Personal L1,Offer1,Agent,385.115437,Four-Door Car,Small,14905.175271570002
JI71369,California,5106.111827,No,Basic,College,2/22/11,Employed,F,30110,Rural,Married,64,2,4,0,5,Personal Auto,Personal L1,Offer1,Web,140.165035,Four-Door Car,Medsize,5092.000264919994
JU93290,Arizona,17930.60451,No,Basic,College,1/16/11,Medical Leave,F,21708,Suburban,Divorced,68,28,77,0,2,Personal Auto,Personal L2,Offer1,Web,326.4,Four-Door Car,Medsize,15881.52147941999
GU66096,Arizona,5457.342569,No,Basic,High School or Below,2/2/11,Employed,M,94731,Suburban,Married,67,23,65,0,4,Personal Auto,Personal L2,Offer2,Agent,321.6,Four-Door Car,Medsize,5394.751499699998
UC33108,California,6563.644143,No,Extended,Bachelor,2/22/11,Employed,M,32375,Suburban,Married,83,17,83,0,6,Personal Auto,Personal L1,Offer1,Agent,398.4,Four-Door Car,Small,6580.815824200005
LW93867,Oregon,4812.525221,No,Basic,College,1/3/11,Medical Leave,M,16531,Rural,Married,63,0,40,0,4,Corporate Auto,Corporate L1,Offer1,Web,102.879769,Four-Door Car,Medsize,4671.9285773400015
OU78470,Arizona,29328.04185,No,Extended,Master,2/27/11,Employed,F,32006,Rural,Single,94,28,7,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,56.868289,Four-Door Car,Medsize,24924.747491000002
XW90265,Arizona,5773.520711,No,Basic,Bachelor,2/15/11,Employed,F,81676,Suburban,Married,72,21,86,0,8,Personal Auto,Personal L2,Offer1,Agent,463.158502,Two-Door Car,Small,5802.807330480002
HS67749,California,6847.1189,No,Extended,College,1/11/11,Employed,M,71038,Rural,Married,86,15,56,0,3,Corporate Auto,Corporate L1,Offer4,Agent,205.444066,Four-Door Car,Medsize,6832.202005820002
VZ51506,Arizona,3595.31286,No,Basic,High School or Below,1/21/11,Unemployed,F,0,Suburban,Single,103,20,43,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,741.6,Sports Car,Medsize,3607.5448879100018
UI64281,Nevada,22855.61209,No,Basic,Master,1/26/11,Medical Leave,F,20832,Rural,Married,65,8,32,0,2,Personal Auto,Personal L3,Offer1,Call Center,56.371967,Two-Door Car,Medsize,18812.022215149977
AE98193,Washington,7859.414569,No,Basic,High School or Below,1/1/11,Unemployed,M,0,Suburban,Single,113,19,10,0,7,Personal Auto,Personal L1,Offer1,Branch,813.6,SUV,Medsize,7879.101870580005
AZ74055,Oregon,4115.577437,No,Premium,High School or Below,2/23/11,Employed,M,52405,Suburban,Married,103,2,27,0,1,Personal Auto,Personal L3,Offer4,Call Center,494.4,Four-Door Car,Medsize,4104.92419203
XS76911,Arizona,5029.638777,No,Extended,High School or Below,2/4/11,Unemployed,F,0,Suburban,Married,133,3,89,0,1,Personal Auto,Personal L3,Offer1,Agent,795.864079,Sports Car,Small,4980.694472720006
AY40674,Washington,4821.418454,No,Extended,Bachelor,2/6/11,Employed,F,26583,Suburban,Married,128,6,46,4,1,Personal Auto,Personal L2,Offer2,Agent,614.4,SUV,Medsize,4937.116594750005
NA12740,Oregon,5004.310469,No,Basic,Master,2/10/11,Disabled,M,25486,Rural,Married,65,15,53,0,3,Special Auto,Special L3,Offer1,Web,72.438681,Two-Door Car,Medsize,4993.922215950005
UA84837,Arizona,8630.053943,No,Premium,College,1/2/11,Employed,M,24065,Suburban,Divorced,111,30,1,0,5,Corporate Auto,Corporate L2,Offer1,Branch,532.8,Four-Door Car,Medsize,8631.383191370005
DJ51510,Arizona,9322.08512,No,Premium,High School or Below,2/10/11,Employed,F,70435,Rural,Married,116,0,50,0,4,Personal Auto,Personal L3,Offer3,Agent,67.881546,Four-Door Car,Medsize,9298.461929079982
VM58985,California,16727.56063,No,Extended,College,1/19/11,Unemployed,M,0,Suburban,Single,76,33,36,2,2,Personal Auto,Personal L3,Offer3,Branch,402.636829,Two-Door Car,Medsize,15805.992116499983
OH60605,Oregon,3652.532435,No,Extended,High School or Below,2/23/11,Employed,F,39679,Suburban,Married,92,2,85,0,1,Personal Auto,Personal L3,Offer2,Branch,641.388616,Two-Door Car,Medsize,3650.114743440001
UO98052,Nevada,6158.601171,No,Extended,College,1/7/11,Unemployed,M,0,Urban,Single,89,13,45,0,5,Personal Auto,Personal L2,Offer1,Web,342.481173,Four-Door Car,Medsize,6173.504415610002
NC53424,California,4376.083958,No,Basic,Bachelor,1/14/11,Unemployed,M,0,Suburban,Married,69,21,70,4,3,Personal Auto,Personal L2,Offer4,Web,331.2,Two-Door Car,Medsize,4462.100586790002
LQ13873,Nevada,5569.456156,No,Basic,High School or Below,2/15/11,Employed,M,53565,Suburban,Married,71,27,34,1,6,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,Small,5578.047502650005
LA97014,Washington,2576.513006,No,Basic,Bachelor,2/24/11,Employed,M,37574,Suburban,Married,66,19,14,1,1,Personal Auto,Personal L1,Offer1,Agent,412.101933,Two-Door Car,Medsize,2598.4228778099964
NB79936,Washington,8346.983233,No,Premium,Bachelor,2/2/11,Employed,M,48259,Rural,Single,108,14,79,0,3,Personal Auto,Personal L2,Offer1,Branch,73.700573,Two-Door Car,Medsize,8419.178904160006
NT89061,Arizona,6323.923864,No,Extended,High School or Below,1/7/11,Employed,F,78532,Suburban,Married,78,25,87,0,3,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,6289.137348160005
AF10970,Arizona,5973.14343,No,Basic,Bachelor,2/28/11,Employed,F,96163,Suburban,Married,73,23,90,0,3,Corporate Auto,Corporate L3,Offer1,Call Center,350.4,Four-Door Car,Medsize,5898.702011560002
ZG48513,California,4706.676993,No,Basic,Bachelor,2/17/11,Unemployed,M,0,Suburban,Single,72,0,86,0,7,Personal Auto,Personal L2,Offer1,Agent,345.6,Four-Door Car,Medsize,4759.094339319992
JQ59145,California,8093.410258,No,Basic,High School or Below,2/12/11,Unemployed,M,0,Suburban,Married,114,9,72,1,5,Personal Auto,Personal L1,Offer1,Agent,722.024742,Sports Car,Medsize,8125.81262271001
FE84989,Washington,5035.744643,No,Basic,College,1/9/11,Employed,M,72672,Urban,Married,63,7,39,0,5,Personal Auto,Personal L2,Offer2,Call Center,259.361117,Four-Door Car,Large,5031.261015870005
JT52858,Oregon,9027.867218,No,Premium,Bachelor,1/10/11,Employed,F,99002,Suburban,Married,112,33,75,1,8,Personal Auto,Personal L1,Offer3,Branch,537.6,Four-Door Car,Medsize,8991.37169374
MC62068,California,7288.884849,No,Extended,High School or Below,1/8/11,Employed,M,79494,Urban,Married,91,19,30,0,3,Personal Auto,Personal L2,Offer4,Agent,396.295614,Four-Door Car,Large,7238.080613050006
EU27538,Oregon,18042.47942,No,Extended,Master,1/25/11,Employed,M,35704,Rural,Married,225,21,35,0,8,Personal Auto,Personal L3,Offer1,Branch,358.281562,Luxury Car,Medsize,17996.582672999994
RH42306,Arizona,4992.063043,No,Basic,Bachelor,1/27/11,Unemployed,F,0,Suburban,Single,71,6,5,0,3,Corporate Auto,Corporate L2,Offer3,Web,653.388564,Four-Door Car,Small,5004.357143740002
US23612,Oregon,9102.267849,No,Premium,High School or Below,1/12/11,Disabled,F,26049,Rural,Married,118,17,6,0,6,Personal Auto,Personal L2,Offer1,Call Center,121.032372,Two-Door Car,Large,9046.759816070014
WV76014,Arizona,2540.407726,No,Basic,Doctor,1/16/11,Employed,M,70125,Rural,Single,64,21,77,0,1,Special Auto,Special L2,Offer2,Branch,92.813396,Four-Door Car,Medsize,2536.936302180003
RK96223,California,12941.89193,No,Basic,College,1/22/11,Employed,M,52369,Suburban,Married,110,34,49,1,2,Personal Auto,Personal L3,Offer1,Agent,528.0,SUV,Medsize,15211.0628311
MF82000,Washington,2365.348601,No,Basic,Bachelor,1/13/11,Unemployed,F,0,Rural,Married,66,25,51,2,1,Special Auto,Special L2,Offer2,Branch,159.636956,Four-Door Car,Medsize,2372.4353522400024
FM46980,Arizona,5720.765064,No,Basic,College,2/11/11,Employed,M,41770,Suburban,Married,72,0,60,0,9,Personal Auto,Personal L1,Offer2,Branch,476.156957,Four-Door Car,Small,5707.494316429997
SY56792,Oregon,7035.534088,No,Premium,High School or Below,1/4/11,Unemployed,M,0,Suburban,Divorced,101,16,88,0,8,Corporate Auto,Corporate L3,Offer3,Web,727.2,Four-Door Car,Medsize,7136.140785109997
RF61565,California,2636.97773,No,Basic,College,1/29/11,Employed,M,31911,Suburban,Married,67,33,27,0,1,Personal Auto,Personal L3,Offer2,Agent,321.6,Four-Door Car,Medsize,2634.1874367100036
IM94808,Nevada,5395.831967,No,Basic,Bachelor,2/28/11,Employed,M,70051,Rural,Married,68,15,69,0,8,Corporate Auto,Corporate L3,Offer4,Web,42.078345,Four-Door Car,Medsize,5410.507620719994
VI14730,Oregon,8382.630118,Yes,Basic,High School or Below,2/4/11,Retired,M,19683,Suburban,Married,117,17,41,1,9,Personal Auto,Personal L2,Offer1,Web,561.6,Sports Car,Medsize,8392.655684879981
YR34119,Washington,31161.74523,No,Basic,College,2/2/11,Employed,F,30916,Rural,Married,112,7,65,0,2,Personal Auto,Personal L1,Offer1,Agent,200.11606,SUV,Small,26587.012096799997
RR77985,Oregon,2887.742258,No,Extended,Bachelor,1/3/11,Unemployed,F,0,Suburban,Single,80,24,95,0,1,Personal Auto,Personal L1,Offer1,Call Center,676.944023,Four-Door Car,Medsize,2842.9071725500003
VC22097,Washington,8714.922135,Yes,Basic,College,2/21/11,Unemployed,F,0,Suburban,Divorced,118,14,64,0,4,Corporate Auto,Corporate L3,Offer1,Agent,566.4,SUV,Medsize,8705.067914320001
WV17090,California,25585.72783,No,Basic,Bachelor,2/1/11,Unemployed,M,0,Suburban,Married,116,0,45,0,2,Corporate Auto,Corporate L1,Offer2,Call Center,830.623064,SUV,Medsize,23526.630161200017
TM23514,Oregon,10272.6082,No,Extended,College,1/1/11,Employed,M,60145,Urban,Single,132,8,28,0,3,Personal Auto,Personal L3,Offer3,Web,580.473259,SUV,Medsize,10312.503869540007
MQ68407,Oregon,4376.363592,Yes,Premium,Bachelor,2/28/11,Employed,F,63774,Rural,Divorced,111,18,63,0,1,Personal Auto,Personal L3,Offer2,Agent,60.036683,Four-Door Car,Medsize,4380.733284749994
GJ59592,California,5318.89664,Yes,Basic,Bachelor,1/12/11,Employed,F,25134,Suburban,Married,67,3,0,0,6,Corporate Auto,Corporate L2,Offer2,Call Center,321.6,Four-Door Car,Small,5318.7861985699965
FY56083,Oregon,4719.762191,No,Basic,Bachelor,2/13/11,Employed,M,37057,Rural,Married,61,5,48,1,6,Personal Auto,Personal L2,Offer1,Agent,47.53101,Four-Door Car,Small,4752.646603379995
UA94723,Oregon,4428.031583,Yes,Basic,High School or Below,1/29/11,Employed,F,58577,Urban,Married,110,6,62,0,1,Personal Auto,Personal L3,Offer1,Agent,303.872752,SUV,Medsize,4427.830998369991
FW91032,California,5879.176092,No,Basic,High School or Below,2/13/11,Employed,M,85857,Rural,Married,73,3,19,0,6,Corporate Auto,Corporate L2,Offer4,Agent,100.620067,Four-Door Car,Medsize,5875.093568649992
DE34457,Oregon,9416.908485,No,Basic,Doctor,1/22/11,Employed,F,70602,Urban,Married,116,8,47,0,3,Personal Auto,Personal L3,Offer3,Call Center,481.339891,SUV,Small,9358.59892744001
HD32044,Oregon,8288.155579,No,Premium,Master,1/25/11,Employed,F,33816,Suburban,Divorced,106,10,97,2,3,Corporate Auto,Corporate L3,Offer1,Branch,508.8,Four-Door Car,Medsize,8341.13003952001
HH30454,Oregon,32654.8383,No,Premium,Bachelor,2/23/11,Unemployed,M,0,Suburban,Single,153,7,75,0,2,Personal Auto,Personal L3,Offer3,Branch,1101.6,SUV,Medsize,22057.143965699997
AH84063,Oregon,4719.450052,No,Extended,College,2/18/11,Employed,F,89642,Rural,Married,121,11,20,4,1,Corporate Auto,Corporate L3,Offer3,Call Center,86.320022,SUV,Medsize,4713.220978140001
QA17596,California,3903.474784,No,Extended,Bachelor,1/3/11,Employed,F,60068,Suburban,Married,98,17,75,0,1,Personal Auto,Personal L3,Offer2,Agent,470.4,Two-Door Car,Small,3905.4050566300034
XI41052,California,5457.259678,No,Extended,Bachelor,1/9/11,Employed,F,50044,Suburban,Single,139,16,14,0,1,Personal Auto,Personal L2,Offer3,Call Center,667.2,SUV,Medsize,5519.853458450001
DI30528,California,2725.356404,Yes,Basic,Master,1/3/11,Employed,F,36650,Rural,Married,69,2,70,1,1,Personal Auto,Personal L3,Offer2,Web,56.60333,Four-Door Car,Large,2725.882197599997
SC66359,Arizona,4433.97368,No,Basic,College,2/21/11,Employed,F,50653,Rural,Married,110,29,42,0,1,Corporate Auto,Corporate L3,Offer4,Agent,262.865172,SUV,Small,4413.318396319997
EN61670,Arizona,5332.462694,Yes,Basic,Doctor,2/22/11,Employed,F,68931,Urban,Married,66,32,30,0,7,Personal Auto,Personal L1,Offer2,Branch,309.577946,Four-Door Car,Medsize,5331.243785129992
DQ10761,Oregon,2315.094985,No,Basic,Bachelor,1/9/11,Unemployed,M,0,Suburban,Single,73,14,39,1,1,Corporate Auto,Corporate L3,Offer1,Branch,350.4,Four-Door Car,Medsize,2384.7094480400015
BQ51587,California,5411.953687,No,Basic,College,2/7/11,Unemployed,F,0,Suburban,Single,73,1,22,0,5,Personal Auto,Personal L2,Offer2,Call Center,365.364581,Four-Door Car,Medsize,5029.57939688
JE21522,California,9587.33234,No,Extended,Bachelor,2/26/11,Employed,M,39266,Suburban,Married,80,33,31,0,2,Personal Auto,Personal L2,Offer4,Branch,384.0,Four-Door Car,Medsize,10896.024385649991
WS47147,California,22103.5072,Yes,Basic,College,1/30/11,Unemployed,M,0,Suburban,Married,102,35,48,0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,SUV,Medsize,21980.485001580044
ZA64638,Nevada,9764.945308,No,Extended,High School or Below,2/28/11,Unemployed,F,0,Suburban,Single,98,24,11,1,2,Personal Auto,Personal L2,Offer2,Web,705.6,Four-Door Car,Small,12028.567935719997
EW38459,Nevada,2567.151468,No,Basic,Bachelor,2/20/11,Employed,F,40864,Rural,Married,65,2,75,0,1,Corporate Auto,Corporate L1,Offer2,Web,9.51528,Four-Door Car,Medsize,2571.1809909699978
QW87316,Oregon,2650.622781,No,Basic,College,1/20/11,Employed,F,39035,Urban,Divorced,68,15,65,0,1,Personal Auto,Personal L2,Offer2,Agent,244.564334,Four-Door Car,Medsize,2675.3047106700037
IC43478,California,11264.36334,No,Extended,Bachelor,1/22/11,Employed,M,34923,Suburban,Single,98,23,82,0,2,Personal Auto,Personal L1,Offer1,Call Center,639.105556,Two-Door Car,Medsize,12300.113104500002
TE34064,California,2168.523464,No,Basic,High School or Below,1/6/11,Unemployed,M,0,Suburban,Single,63,1,56,0,1,Personal Auto,Personal L3,Offer2,Agent,453.6,Four-Door Car,Medsize,2193.4171570899985
WU60905,California,8610.667489,No,Basic,High School or Below,2/6/11,Unemployed,F,0,Suburban,Married,111,27,36,0,9,Corporate Auto,Corporate L1,Offer3,Web,532.8,SUV,Medsize,8459.121053530009
YM18992,California,2834.646235,No,Basic,College,2/2/11,Employed,F,24506,Suburban,Divorced,71,7,47,0,1,Personal Auto,Personal L1,Offer1,Agent,511.2,Two-Door Car,Medsize,2774.1001000099996
PD55753,Oregon,8930.139728,No,Extended,High School or Below,2/23/11,Unemployed,M,0,Suburban,Married,82,25,63,0,2,Personal Auto,Personal L1,Offer4,Call Center,554.522969,Four-Door Car,Medsize,13079.481720399994
KU56006,Arizona,5536.386959,No,Basic,College,1/7/11,Employed,F,52220,Suburban,Married,70,17,42,1,5,Personal Auto,Personal L2,Offer1,Call Center,336.0,Four-Door Car,Small,5528.805483199998
MJ69973,Arizona,2840.85429,No,Basic,High School or Below,2/27/11,Unemployed,M,0,Suburban,Married,74,17,73,0,1,Personal Auto,Personal L3,Offer1,Call Center,402.449823,Two-Door Car,Medsize,2806.9307911799965
TW43626,California,8082.880956,No,Basic,College,1/21/11,Employed,M,53554,Suburban,Married,67,6,5,0,2,Personal Auto,Personal L2,Offer1,Agent,327.020539,Four-Door Car,Large,9686.395520559985
XX84133,California,5254.734278,No,Basic,Bachelor,2/4/11,Employed,M,34476,Rural,Married,67,23,49,1,3,Corporate Auto,Corporate L2,Offer4,Call Center,5.3953,Four-Door Car,Medsize,5303.9090046599995
ZW84453,Arizona,5116.237577,No,Basic,Bachelor,1/8/11,Unemployed,F,0,Rural,Married,70,1,11,0,5,Personal Auto,Personal L2,Offer1,Web,131.401291,Four-Door Car,Medsize,5196.8714908999955
HO29524,California,3034.646997,No,Extended,College,2/4/11,Employed,M,68205,Rural,Married,76,35,14,0,1,Personal Auto,Personal L1,Offer4,Branch,99.382943,Two-Door Car,Medsize,3033.431627469998
VE89726,California,8024.89992,No,Basic,High School or Below,1/15/11,Unemployed,F,0,Suburban,Single,119,6,48,1,8,Personal Auto,Personal L1,Offer3,Branch,856.8,SUV,Medsize,8224.946287159997
GE87503,California,18211.14319,No,Premium,High School or Below,2/7/11,Employed,M,53690,Suburban,Married,154,20,97,0,2,Personal Auto,Personal L3,Offer4,Call Center,739.2,SUV,Small,20640.535065499982
PX90263,Oregon,5121.563312,No,Basic,High School or Below,2/19/11,Unemployed,M,0,Suburban,Single,72,2,22,0,5,Personal Auto,Personal L3,Offer1,Branch,518.4,Four-Door Car,Medsize,5039.105476530004
NI17718,California,2150.178588,No,Basic,High School or Below,2/9/11,Unemployed,F,0,Suburban,Single,61,28,31,0,1,Personal Auto,Personal L3,Offer2,Web,292.8,Four-Door Car,Medsize,2149.556175570002
FY32213,California,5595.389905,Yes,Basic,High School or Below,2/5/11,Employed,F,74454,Suburban,Single,71,25,29,0,3,Personal Auto,Personal L3,Offer2,Call Center,340.8,Four-Door Car,Medsize,5595.324170579993
RZ13254,Nevada,7562.824036,No,Basic,Bachelor,1/15/11,Unemployed,F,0,Suburban,Single,73,23,91,0,2,Personal Auto,Personal L1,Offer2,Branch,350.4,Four-Door Car,Large,10036.883886459986
GN45013,Oregon,5385.853211,No,Basic,High School or Below,2/6/11,Medical Leave,M,29664,Suburban,Married,71,1,69,0,3,Personal Auto,Personal L1,Offer1,Agent,340.8,Four-Door Car,Medsize,5423.339736519995
UB16654,Washington,4718.558501,No,Basic,Master,2/27/11,Disabled,M,15680,Urban,Divorced,64,20,29,0,8,Personal Auto,Personal L3,Offer4,Web,260.879903,Four-Door Car,Medsize,4710.586342529997
KU84464,Nevada,9422.567923,No,Extended,Bachelor,1/17/11,Employed,F,47272,Rural,Married,79,17,17,3,2,Personal Auto,Personal L3,Offer1,Call Center,64.546877,Four-Door Car,Medsize,10448.380229959994
YH43527,Oregon,3605.860265,No,Extended,College,1/7/11,Employed,F,21585,Suburban,Married,92,35,61,0,1,Corporate Auto,Corporate L2,Offer4,Agent,441.6,Four-Door Car,Medsize,3556.2488092299986
RO30676,California,7762.590564,No,Premium,College,1/3/11,Disabled,F,23827,Rural,Married,106,18,77,2,3,Personal Auto,Personal L3,Offer1,Agent,37.910623,Four-Door Car,Medsize,8082.475140950001
QL59704,Arizona,23444.90045,No,Basic,College,1/26/11,Employed,F,69906,Urban,Married,74,34,32,2,2,Corporate Auto,Corporate L3,Offer2,Branch,202.860399,Four-Door Car,Medsize,19278.103986670016
QH19450,California,2558.178159,No,Basic,High School or Below,1/7/11,Unemployed,F,0,Suburban,Single,72,7,77,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,345.6,Four-Door Car,Small,2559.2659932500014
HR85211,Washington,5123.170887,No,Basic,Master,1/14/11,Employed,F,89879,Rural,Married,63,17,20,0,3,Personal Auto,Personal L3,Offer2,Web,94.030308,Two-Door Car,Medsize,5035.741558530002
UV54502,Washington,2537.744494,No,Basic,High School or Below,2/20/11,Unemployed,F,0,Suburban,Married,69,9,89,0,1,Personal Auto,Personal L3,Offer4,Branch,331.2,Four-Door Car,Large,2565.0860741400006
WB38524,California,2969.593296,No,Basic,High School or Below,1/1/11,Employed,M,46131,Suburban,Married,74,27,28,0,1,Personal Auto,Personal L3,Offer2,Branch,355.2,Two-Door Car,Small,2950.202044740001
CE56187,Oregon,4363.124641,No,Basic,Master,1/10/11,Employed,F,54514,Urban,Divorced,109,5,36,3,1,Personal Auto,Personal L2,Offer2,Branch,286.234931,SUV,Medsize,4354.7161864
JL19416,California,5884.308607,No,Premium,High School or Below,1/27/11,Unemployed,F,0,Suburban,Single,161,29,1,0,1,Personal Auto,Personal L3,Offer1,Agent,1159.2,SUV,Medsize,5856.51469578
JZ61422,Nevada,5272.191556,No,Basic,College,2/7/11,Employed,F,96668,Suburban,Single,66,2,95,0,3,Personal Auto,Personal L2,Offer1,Agent,316.8,Four-Door Car,Medsize,5266.858234099995
LA13377,California,5509.895664,No,Basic,Doctor,1/25/11,Employed,M,78879,Suburban,Married,69,9,67,1,4,Personal Auto,Personal L3,Offer4,Call Center,466.570791,Four-Door Car,Small,5515.4280999200055
NC99948,Nevada,16313.68349,No,Basic,College,2/11/11,Unemployed,M,0,Suburban,Single,69,21,86,0,2,Personal Auto,Personal L1,Offer3,Call Center,331.2,Four-Door Car,Medsize,10938.726003679998
QD34785,Arizona,5678.050167,Yes,Extended,Bachelor,1/19/11,Unemployed,F,0,Suburban,Married,76,8,44,0,3,Personal Auto,Personal L1,Offer2,Agent,364.8,Four-Door Car,Small,5667.180341899995
RO26085,California,12101.20884,No,Basic,Bachelor,2/4/11,Unemployed,F,0,Suburban,Single,112,28,30,0,2,Personal Auto,Personal L2,Offer2,Agent,1252.406235,Sports Car,Large,16756.19354869999
ES57969,Oregon,2453.570794,Yes,Basic,Bachelor,2/9/11,Medical Leave,M,29735,Suburban,Single,69,3,92,0,1,Personal Auto,Personal L2,Offer1,Agent,331.2,Four-Door Car,Medsize,2454.1672726499996
JK55587,California,5075.66267,No,Basic,High School or Below,2/20/11,Medical Leave,M,23082,Suburban,Married,65,18,90,0,7,Special Auto,Special L3,Offer1,Branch,312.0,Four-Door Car,Large,5053.4830026699965
RN97635,Arizona,3214.979402,No,Extended,Bachelor,2/4/11,Employed,M,53984,Suburban,Divorced,80,15,62,0,1,Corporate Auto,Corporate L2,Offer1,Call Center,421.484456,Four-Door Car,Small,3204.531004000002
BI76326,California,12275.34309,No,Premium,College,1/8/11,Employed,F,52135,Urban,Single,156,6,86,0,9,Personal Auto,Personal L3,Offer2,Call Center,430.505942,SUV,Small,12111.804297500004
JA34909,California,2722.210707,Yes,Basic,College,2/2/11,Medical Leave,F,17576,Suburban,Married,71,29,70,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,398.502948,Four-Door Car,Medsize,2715.966753299997
OJ90342,Oregon,2457.440923,No,Basic,Bachelor,2/7/11,Employed,F,29486,Rural,Married,62,19,73,0,1,Personal Auto,Personal L3,Offer2,Web,7.646763,Four-Door Car,Medsize,2455.358838039996
CM88932,Oregon,3554.845264,Yes,Extended,Master,1/10/11,Employed,F,58557,Rural,Married,88,4,83,0,1,Corporate Auto,Corporate L2,Offer1,Branch,55.510526,Four-Door Car,Large,3552.3241782600026
